Date,Open,High,Low,Close,Adj Close,Volume
2014-03-10,84.690002,84.690002,84.690002,84.690002,84.690002,100
2014-03-11,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-12,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-13,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-14,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-17,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-18,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-19,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-20,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-21,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-24,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-25,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-26,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-27,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-28,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-03-31,84.769997,84.769997,84.769997,84.769997,84.769997,0
2014-04-01,70.250000,70.250000,70.250000,70.250000,70.250000,1000
2014-04-02,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-03,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-04,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-07,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-08,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-09,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-10,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-11,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-14,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-15,70.250000,70.250000,70.250000,70.250000,70.250000,0
2014-04-16,70.250000,70.250000,70.250000,70.250000,70.250000,0
